,,Burton E1,,
,,Burton E2,,
,,Burton S,,
,,Burton W,,
,,Sayles E,:,76
,,Sayles S,:,77
,,Sayles W,:,78
,,Severance E1,:,81
,,Severance E2,:,82
,,Severance S,:,83
Goodhue,,Severance W,:,84
Watson,,Davis E,:,17
Scoville,,Davis S,:,18
,,Davis W,:,19
,,Musser W1,:,56
,,Musser W2,:,57
,,Musser E1,:,58
,,Musser E2,:,59
,,Musser S,:,60
,,Musser W3,:,61
,,Myers E,:,62
,,Myers S,:,63
,,Myers W,:,64
,,Cassat E1,:,7
,,Cassat S1,:,8
,,Cassat S2,:,9
,,Cassat W,:,10
,,Cassat E2,:,11
,,Memo S,:,9
,,Memo W,:,10
,,Memo E1,:,11
,,Memo E2,:,35
,,SOLAR,:,36
,,Nourse E,:,65
,,Nourse S,:,66
,,Nourse W,:,67
,,Evans E,:,20
,,Evans S,:,21
,,Evans W,:,22
,,Goodhue E,:,23
,,Goodhue S,:,24
,,Goodhue W,:,25
,,Watson E,:,94
,,Watson S,:,95
,,Watson W,:,96
,,Scoville E,:,79
,,Scoville S,:,80
